V1,V2,cover_type,aspect,slope,horizontal_distance_to_hydrology,vertical_distance_to_hydrology,horizontal_distance_to_roadways,hillshade_9am,hillshade_noon,hillshade_3pm,horizontal_distance_to_fire_points,elevation_boxcox,st_line_dist_to_hydrology,neg_vert_dist,hdth_gt_1250,hdth_lt_600,vdth_gt_500,vdth_btw_350_500,vdth_lt_350,dist_ratio_sq,wilderness_area,soil_type
-29.847455247009194,4.238615795896448,spruce_fir,8,3,5,4,2,7,10,8,1,10936249,632.3606565876786,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,21.269993316997105,3,17
-29.74206219365605,5.449985904033917,spruce_fir,6,2,6,4,4,9,10,7,2,11015761,709.710504360757,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,35.7951640002922,2,17
-11.077751765925173,-5.4527386601618595,spruce_fir,3,2,1,3,8,10,10,6,9,8809024,60.07495318350236,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,400,4,35
0.4901831525526759,3.9449412382733655,spruce_fir,1,2,1,3,2,9,9,6,3,7524049,31.04834939252005,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,14.0625,2,17
-3.0975802469105447,-11.281733641925,spruce_fir,9,4,1,3,7,7,9,8,1,7974976,73.00684899377592,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,5.33769322235434,4,7
-3.422591367457692,-9.523878287808307,spruce_fir,10,1,1,3,5,9,10,7,1,9193024,30.066592756745816,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,225,4,22
-3.6212200798070824,2.6605047820017607,spruce_fir,4,3,2,3,4,10,10,5,2,10310521,151.90786681406595,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,39.0625,2,22
4.407719989207385,-6.111854681976211,spruce_fir,9,2,2,3,1,8,10,8,1,9024016,155.24174696260025,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,14.0625,3,23
-9.113180531029508,-6.332699604474919,spruce_fir,4,3,4,3,6,10,10,5,6,10182481,511.2504278726816,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1020.00390625,4,7
-6.6389246207206005,-7.491147377166311,spruce_fir,6,1,4,3,9,9,10,7,4,10297681,511.7665483401587,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,333.0625,4,23
7.692389285273418,-14.491323411908576,spruce_fir,9,6,2,4,2,5,8,9,2,8242641,181.12150617748296,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,4,2,17
-5.471443225247622,-5.3665226026720685,spruce_fir,5,2,2,3,6,10,10,6,1,9467929,150.9602596712128,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,77.85467128027683,4,7
-4.206348597009985,-9.236713179474547,spruce_fir,7,2,1,3,8,9,10,8,1,10368400,42.42640687119285,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,49,4,23
4.3612257039967774,-6.020816678428855,spruce_fir,9,2,1,3,4,8,10,8,1,9972964,121.49485585818027,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,39.88919667590028,2,17
7.053593568946038,-7.17116382662961,spruce_fir,9,4,1,3,1,6,10,9,3,8450649,75.6042326857432,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1.7013232514177694,2,21
-6.8870218150973965,3.9203511786554075,spruce_fir,1,2,4,5,2,9,9,6,2,10582009,565.4184291301443,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,9.204538925596092,4,23
-5.96528403409198,-1.4682230041926487,spruce_fir,3,2,2,3,2,10,9,5,4,10837264,175.4821928287882,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,181.2130177514793,4,27
20.874621964070336,0.7705705259192143,spruce_fir,4,1,1,3,2,9,10,6,3,10969344,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,999999,3,19
-5.438408527614974,-5.436660422049885,spruce_fir,5,2,1,3,6,10,10,6,3,9746884,67.02984409947557,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1122.25,4,23
-4.517036734175144,2.257318609997923,spruce_fir,2,3,2,3,3,9,8,5,4,1024e4,168.13387523042465,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,12.96,2,17
-17.946080138775187,-1.2058297619739766,spruce_fir,3,3,2,3,2,10,9,5,3,9529569,190.3785702225962,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,250.69444444444446,4,22
-6.024673356922227,-4.6645639437238895,spruce_fir,5,3,2,3,5,9,10,6,5,9897316,204.37710243566914,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,29.511322132943754,4,8
-4.079807378004392,-10.012413767837849,spruce_fir,10,1,1,3,6,9,10,7,2,8970025,134.23859355639868,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,280.5625,4,7
-8.955240748899254,-6.67549535388736,spruce_fir,2,3,4,4,7,9,9,5,5,10582009,545.0467869825488,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,53.25054784514244,4,7
-5.6732810633766,-2.8765746585691825,spruce_fir,5,3,3,3,3,10,10,5,4,10588516,340.073521462639,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,157.64197530864197,4,7
0.3922096473092363,-7.095148699269448,spruce_fir,7,3,4,3,5,8,10,8,3,10080625,514.8689153561322,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,65.79012345679011,2,17
-16.755153074168426,-1.6520287172600352,spruce_fir,3,3,1,2,4,10,9,4,6,10304100,61.39218191268331,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,21.30177514792899,3,22
4.377189789297605,-6.090938246689182,spruce_fir,8,3,1,3,2,8,10,8,3,10355524,42.04759208325728,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,441,3,22
0.9305451142869645,3.913606974048843,spruce_fir,2,2,1,3,1,9,9,5,3,8248384,92.41753080449618,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,18.36734693877551,2,21
20.563870590966395,3.8950896314448107,spruce_fir,2,2,4,3,4,9,9,6,4,8838729,499,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,999999,2,22
-5.385233363944835,4.751735452253158,spruce_fir,3,3,4,4,1,10,9,4,2,8294400,504.6047958551326,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,44.266844444444445,2,17
-4.110741557661465,-9.96100953239536,spruce_fir,10,2,1,3,7,9,10,7,2,10144225,128.56515857727553,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,40.3225,4,7
18.783288862593555,0.12083088851751307,spruce_fir,6,2,1,3,9,9,10,7,4,9548100,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,999999,4,7
1.9850445133307117,-9.40079183340799,spruce_fir,10,4,4,4,5,7,9,8,3,8838729,454.0275322048212,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,27.531626297577855,2,21
-17.95520649267186,0.05172011148039915,spruce_fir,4,4,1,3,1,10,9,3,3,9211225,134.01492454200763,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,4489,4,7
-9.494933127504096,-2.47134486237906,spruce_fir,1,3,2,3,4,8,8,6,6,9265936,150.4027925272666,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,185.95041322314052,4,7
2.945716618292169,-11.422337955093507,spruce_fir,10,4,3,4,1,7,8,6,3,8643600,348.7606629194296,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,11.927409926665959,4,8
-6.279066986210874,2.5530815443263335,spruce_fir,1,3,3,4,3,9,8,5,5,9314704,386.12174245955123,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,12.022097999825311,2,17
-2.6718593619422784,4.073964610996597,spruce_fir,3,2,2,3,1,10,9,5,1,9480241,166.1715980545412,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,19.170197224251275,2,18
-3.2964750584277906,-10.444055150709909,spruce_fir,10,2,2,3,6,8,9,7,2,11122225,183.56470248934025,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,4,7
-30.244024475350212,7.336703314786258,spruce_fir,1,2,5,6,3,9,9,6,5,9498724,646.6668384879497,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7.409137525387601,2,18
5.818360413954018,-3.841295802030367,spruce_fir,10,2,2,3,2,9,9,7,3,8958049,150.8509197850646,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,87.890625,2,35
-5.299499969697446,-4.070949591538489,spruce_fir,3,2,2,3,4,10,10,5,1,8928144,162.69296235547498,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,116.64000000000001,4,7
3.748982937571776,-8.107812263280142,spruce_fir,10,2,2,3,5,8,9,7,4,8508889,150.9602596712128,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,77.85467128027683,2,5
-16.649084421569622,-2.9516452589305557,spruce_fir,6,1,1,3,4,9,10,7,6,9424900,85.47514258543241,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,89.19753086419753,4,22
1.6441342999364983,-9.832187560597491,spruce_fir,10,4,4,4,4,7,8,7,2,11075584,500.8492787256462,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,15.0544,2,26
-2.180508688670394,-11.70999719145599,spruce_fir,10,4,1,3,5,7,8,7,3,7557001,45.69463863518345,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,5.4444444444444455,4,7
-0.30983723018874887,3.1245932729725054,spruce_fir,1,2,2,3,2,9,9,6,4,8105409,151.75308893067054,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,42.53308128544423,2,2
-16.32242237681845,-1.3220076656871587,spruce_fir,2,4,1,3,7,10,8,4,5,10588516,95.25754563287887,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,184.18367346938774,2,23
-17.15359706283413,-2.4182541486087503,spruce_fir,4,2,1,3,3,10,10,6,5,10876804,30.01666203960727,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,900,4,19
